"Topic","Keywords"
"9","0.058*o + 0.032*going + 0.019*see + 0.016*gold + 0.015*long + 0.013*everyone + 0.013*lounge + 0.012*nice + 0.012*member + 0.012*ba"
"8","0.022*need + 0.021*poor + 0.017*app + 0.015*flown + 0.014*help + 0.012*booking + 0.011*jfk + 0.010*get + 0.009*apparently + 0.009*nothing"
"7","0.018*still + 0.015*hear + 0.012*ill + 0.011*pilot + 0.011*get + 0.011*reason + 0.010*price + 0.010*promoting + 0.010*email + 0.010*hotel"
"6","0.163*british + 0.144*airways + 0.017*flight + 0.010*get + 0.010*people + 0.009*stuck + 0.009*airways, + 0.008*one + 0.008*ever + 0.007*free"
"5","0.031*passengers + 0.025*stranded + 0.023*wait + 0.023*mumbai + 0.021*crew + 0.018*cabin + 0.017*told + 0.014*airport + 0.011*seems + 0.011*8"
"4","0.034*, + 0.021*heathrow + 0.019*i'm + 0.019*disappointed + 0.018*flight + 0.016*pay + 0.015*looking + 0.014*sure + 0.012*even + 0.011*get"
"3","0.024*change + 0.022*ba + 0.020*today. + 0.016*flight + 0.014*t5 + 0.013*away + 0.012*miss + 0.012*impressed + 0.011*charge + 0.011*working"
"2","0.044*hanks + 0.039*fly + 0.022*would + 0.018*rt + 0.017*hen + 0.015*airline + 0.015*weeks + 0.015*thing + 0.014*far + 0.014*connecting"
"1","0.079*emo + 0.042*neg + 0.038*pos + 0.013*problem + 0.010*ba + 0.010*shit + 0.009*saying + 0.009*1st + 0.008*like + 0.008*mins"
"0","0.053*flight + 0.019*seats + 0.018*made + 0.016*tomorrow + 0.013*must + 0.013*hanks + 0.012*cancel + 0.011*put + 0.011*delays + 0.011*one"
